"rank","provider","product","category","markets","headline_metric","amount_limit","term","fx_fee","atm_fee","cashback_reward","best_for","pros","watch_out","provider_url","url_type","url_verified_at"
"UK-3","Lloyds Bank","Classic Account","banking","UK","£0/mo","-","-","2.99%","Free UK ATMs","-","Trusted incumbent","Large UK branch network; overdraft available.","High FX fees; app rated below digital-first rivals.","https://www.lloydsbank.com/current-accounts/all-accounts/classic-account.html","PRODUCT",""
"UK-4","NatWest","Reward Current Account","banking","UK","£2/mo","-","-","2.75%","Free UK ATMs","1–15% at retailers","Cashback on bills","Cashback on 9 monthly direct debits; large branch network.","£2/mo fee; FX charges apply abroad.","https://personal.natwest.com/personal/current-accounts/reward.html","PRODUCT",""
"UK-5","HSBC UK","Advance Account","banking","UK","£0/mo","-","-","2.75%","Free UK ATMs","-","Global bank access","Global HSBC network; expat and international transfers easy.","Requires £1,750/mo inflow to avoid fee.","https://www.hsbc.co.uk/current-accounts/products/advance/","PRODUCT",""
"NL-1","ING NL","Betaalrekening","banking","NL","€0–2.95/mo","-","-","1.90%","Free NL ATMs","-","Largest Dutch bank","Free with salary; widest ATM network in NL.","Fee without salary; FX fees apply.","https://www.ing.nl/particulier/betalen/betaalrekening/index.html","PRODUCT",""
"NL-2","Knab","Knab Free","banking","NL","€0/mo","-","-","1.75%","Free NL ATMs","-","Free Dutch IBAN","No monthly fee; clean app; Aegon-backed.","Limited product range beyond current account.","https://www.knab.nl/betaalrekening/knab-free","PRODUCT",""
"NL-3","ABN AMRO","Basis Pakket","banking","NL","€2.95/mo","-","-","1.90%","Free NL ATMs","-","Big-bank Netherlands","Strong brand, full branch network, robust online banking.","No free tier; FX fees apply.","https://www.abnamro.nl/nl/prive/betalen/betaalpakketten/index.html","CATEGORY_LANDING",""
"NL-4","Rabobank","Direct Pakket","banking","NL","€2.35/mo","-","-","1.90%","Free NL ATMs","-","Co-op with full service","Largest farm/SME bank NL; strong community focus.","Monthly fee applies from day one.","https://www.rabobank.nl/particulieren/betalen/betaalpakketten","CATEGORY_LANDING",""
"PT-1","ActivoBank","Conta ActivoBank","banking","PT","€0/mo","-","-","1.50%","Free PT ATMs","-","Best free PT account","No fees, no conditions; BCP-backed digital bank.","Limited branch presence; digital-only service model.","https://www.activobank.pt/pt/public/conta-ordenado","PRODUCT",""
"PT-2","Novo Banco","Conta Ordenado","banking","PT","€0/mo","-","-","1.75%","Free PT ATMs","-","Salary account PT","Free with salary domiciliation; extensive PT branch network.","Fee applies without salary transfer.","https://www.novobanco.pt/particulares/contas/conta-ordenado","PRODUCT",""
"PT-3","Millennium BCP","Conta Frequente","banking","PT","€0/mo","-","-","1.75%","Free PT ATMs","-","Portugal's top private bank","Largest private bank PT; solid digital + branch coverage.","Account conditions reviewed annually.","https://ind.millenniumbcp.pt/pt/Particulares/contas/Pages/conta-frequente.aspx","PRODUCT",""
"PT-4","Caixa Geral de Depósitos","Conta Caixa","banking","PT","€0/mo","-","-","1.75%","Free PT ATMs","-","State-owned safe harbour","State-guaranteed bank; universal acceptance in PT.","Digital experience lags behind digital-first rivals.","https://www.cgd.pt/Particulares/Contas/Pages/Conta-Caixa-Easy.aspx","CATEGORY_LANDING",""
"INT-1","Revolut","Standard / Premium / Metal / Ultra","neobanks","INT","€0–45/mo","-","-","0% (plan limits)","€200–2000/mo free","Up to 1% (Metal)","Most features per £","50M+ users; widest feature set including stock trading, crypto, insurance.","Weekend FX markup on Standard; customer service delays.","https://www.revolut.com/our-pricing-plans/","PRICING",""
"INT-2","Wise","Wise Account","neobanks","INT","No monthly fee","-","-","Mid-market rate","£200/mo free","-","Lowest FX cost","True mid-market rate for 40+ currencies; transparent fees.","Not a full bank; no interest unless via Wise Interest.","https://wise.com/gb/multi-currency-account/","PRODUCT",""
"DE-1","N26","Standard / Smart / You / Metal","neobanks","DE; IT; ES; FR; PT","€0–16.90/mo","-","-","0%","3 free/mo (Standard)","-","Sleekest EU neobank","German banking licence; clean UX; instant spending notifications.","No cash deposits; limited customer support tier on free plan.","https://n26.com/en-eu/pricing","PRICING",""
"NL-1","bunq","Easy Savings / Easy Money / Easy Green","neobanks","NL; DE; FR; IT; ES","€4.99–17.99/mo","-","-","0%","Free worldwide","Saveback 0.5%","Multi-IBAN power users","8 IBANs, joint accounts, and 2.46% savings — all on one app.","Paid plans only; no truly free tier.","https://www.bunq.com/plans","PRICING",""
"DE-2","Trade Republic","Trade Republic Card","neobanks","DE; FR; IT; ES; NL; PT","€0/mo","-","-","0%","Free worldwide","1% Saveback to ETF","Invest + bank in one","2% on uninvested cash; 1% cashback reinvested to ETF portfolio.","Primarily a broker; banking features are secondary.","https://traderepublic.com/card","PRODUCT",""
"DE-3","Vivid Money","Vivid Standard / Plus / Prime","neobanks","DE; FR; IT; ES","€0–9.99/mo","-","-","0%","€200/mo free","Up to 25% at partners","Cashback neobank","Partner cashback up to 25%; Solaris-backed German IBAN.","Cashback only at partner merchants; free tier has low ATM allowance.","https://vivid.money/en-de/pricing/","PRICING",""
"DE-4","C24 Bank","Smart / Plus / Max","neobanks","DE","€0–9.90/mo","-","-","1.75%","Free DE ATMs","-","Check24 ecosystem","Tight integration with Check24 comparison tools.","Limited to Germany; FX fees apply.","https://www.c24bank.de/girokonto/","CATEGORY_LANDING",""
"UK-1","Monzo","Free / Plus / Premium / Perks","neobanks","UK","£0–17/mo","-","-","0%","£200/mo free (Plus+)","Up to 1% (Perks)","Best UK money app","Pots, roundups, bill splitting; most-loved UK app.","Free ATM allowance outside UK limited on free tier.","https://monzo.com/our-plans/","PRICING",""
"UK-2","Starling Bank","Personal Current Account","neobanks","UK","£0/mo","-","-","0%","Free worldwide","-","Free UK current account","Full UK banking licence; 0% FX; free worldwide ATMs.","No premium tiers with travel perks unlike Monzo.","https://www.starlingbank.com/current-account/","PRODUCT",""
"FR-1","Nickel","Nickel Standard / Chrome / Metal","neobanks","FR; ES; IT; PT; BE","€1.50–11.90/mo","-","-","1.50%","Free EU ATMs","-","Open to everyone","No income or credit checks; open at any tabac shop.","Not a full bank account; spending limits apply.","https://nickel.eu/fr/comptes","CATEGORY_LANDING",""
"FR-2","Helios","Compte Courant Éthique","neobanks","FR","€7/mo","-","-","1.50%","Free EU ATMs","-","Ethical / green banking","Deposits fund only renewable energy; B Corp certified.","Premium price for ethical stance; no free tier.","https://helios.do/fr/compte-courant","PRODUCT",""
"IT-1","Hype","Hype Start / Plus / Premium","neobanks","IT","€0–9.90/mo","-","-","1.50%","Free IT ATMs","Up to 10% at partners","Italian mobile bank","Largest Italian neobank; cashback at 2,500 Italian retailers.","Banca Sella-backed; FX fees on non-EUR.","https://www.hype.it/scopri-hype/","CATEGORY_LANDING",""
"IT-2","Buddybank","Conto Più","neobanks","IT","€9.90/mo","-","-","0%","Free worldwide","-","Premium concierge","24/7 concierge; UniCredit-backed; 0% FX.","Paid from day one; niche proposition.","https://www.buddybank.com/it/buddybank-conto.html","PRODUCT",""
"ES-1","Openbank","Cuenta Open","neobanks","ES; PT; DE; NL","€0/mo","-","-","0%","Free worldwide","-","Santander digital","Santander-backed; 0% FX globally; growing EU footprint.","Less fintech-polished than Revolut; Santander branding.","https://www.openbank.es/cuentas/cuenta-corriente","PRODUCT",""
"ES-2","imagin","Cuenta Imagin","neobanks","ES","€0/mo","-","-","1.50%","Free CaixaBank ATMs","-","Youth segment ES","CaixaBank-backed; strong app; youth lifestyle perks.","Targets under-35s; limited for older customers.","https://imagin.app/web/imagin/cuenta","PRODUCT",""
"PT-1","Moey!","Cartão Moey","neobanks","PT","€0/mo","-","-","1.50%","Free PT ATMs","-","Free PT digital account","Crédito Agrícola-backed; free account with Visa debit.","Feature set thinner than international neobanks.","https://www.moey.pt/cartao","PRODUCT",""
"INT-1","Trade Republic","Cash Interest","savings","DE; FR; IT; ES; NL; PT; INT","2.00% p.a.","€50,000","Flexible","-","-","-","Instant savings yield","2% on uninvested cash with instant access; no separate savings account needed.","Rate is variable and linked to ECB policy; not FSCS/DGS protected.","https://traderepublic.com/en-de/interest","PRODUCT",""
"INT-2","Raisin","Savings Marketplace","savings","DE; FR; IT; ES; NL; PT; UK","Up to 3.80% p.a.","Up to €100k","Flexible–5 yrs","-","-","-","Best rate marketplace","100+ partner banks; single KYC for all; up to 3.80% easy access.","Rates change daily; some partners require notice periods.","https://www.raisin.com/en-eu/savings/","CATEGORY_LANDING",""
"INT-3","Revolut","Savings Vault","savings","UK; DE; FR; IT; ES; NL; PT","Up to 4.25% p.a.","-","Flexible","-","-","-","In-app savings tier","Easy to open within the Revolut app; rate scales with plan tier.","Higher rates locked to Metal/Ultra subscribers only.","https://www.revolut.com/savings/","PRODUCT",""
"DE-1","Scalable Capital","PRIME+ Cash Interest","savings","DE; AT","Variable (ECB linked)","-","Flexible","-","-","-","Invest + save together","Cash earns interest inside the brokerage account; no extra account needed.","Requires PRIME+ subscription at €4.99/mo.","https://de.scalable.capital/prime-broker","PRODUCT",""
"DE-2","Klarna","Klarna Sparkonto (Hochzinskonto)","savings","DE","Up to 3.30% p.a.","€100,000","Flexible","-","-","-","Easy access DE","BNPL giant's savings arm; competitive easy-access rate.","Rate is promotional and variable.","https://www.klarna.com/de/sparen/","PRODUCT",""
"UK-1","Chase UK","Chase Saver Account","savings","UK","4.10% AER","£500,000","Easy access","-","-","-","Top UK easy access","Competitive rate with instant access; £85k FSCS protected.","Rate tracks base rate; JPMorgan may reprice quickly.","https://www.chase.co.uk/gb/en/product/chase-saver-account/","PRODUCT",""
"UK-2","Atom Bank","Instant Saver","savings","UK","4.85% AER","£100,000","Easy access","-","-","-","Highest easy-access UK","Consistently top-of-table for easy access; app-only simplicity.","App-only; no branch or phone banking.","https://www.atombank.co.uk/savings/instant-saver/","PRODUCT",""
"UK-3","Marcus by Goldman Sachs","Online Savings Account","savings","UK","4.75% AER","£250,000","Easy access","-","-","-","Goldman Sachs backing","Highly competitive rate; Goldman Sachs balance sheet; FSCS protected.","No current account; savings-only product.","https://www.marcus.co.uk/uk/en/savings/online-savings-account","PRODUCT",""
"UK-4","Trading 212","Cash ISA / Interest","savings","UK","Up to 5.10% AER","£20,000/yr (ISA)","Flexible","-","-","-","ISA + high rate","Leading rate on Cash ISA; integrates with invest account.","ISA allowance limits; rate variable.","https://www.trading212.com/cash-isa","PRODUCT",""
"FR-1","Livret A","Livret A (state savings)","savings","FR","2.40% (regulated)","€22,950","Flexible","-","-","-","Risk-free FR savings","State-guaranteed; tax-free; available at any French bank.","Capped at €22,950; rate set by government every 6 months.","https://www.service-public.fr/particuliers/vosdroits/F2365","PRODUCT",""
"ES-1","MyInvestor","Cuenta Remunerada","savings","ES","3.05% p.a.","€1,000,000","Flexible","-","-","-","Best easy-access ES","Andbank-backed; top rate for Spanish residents; no notice period.","Rate is promotional; may step down after introductory period.","https://myinvestor.es/cuenta-remunerada/","PRODUCT",""
"ES-2","Pibank","Cuenta Pibank","savings","ES","3.00% p.a.","€100,000","Flexible","-","-","-","Simple ES savings","Pichincha-backed; straightforward 3% with no conditions.","Smaller brand; less name recognition in ES market.","https://www.pibank.es/cuenta-pibank","PRODUCT",""
"IT-1","Banca Mediolanum","Conto Mediolanum","savings","IT","Variable","-","Flexible","-","-","-","Premium IT savings","Bundled bank + insurance products; strong network of financial advisors.","Rate varies; tied to advisor relationship model.","https://www.bancamediolanum.it/prodotti/conto-mediolanum/","PRODUCT",""
"IT-2","Illimity Bank","Conto Premium","savings","IT","Variable","-","Flexible–24 mo","-","-","-","Digital-only IT savings","Competitive fixed-term options; fully online, no branches.","Newer brand; less established than Mediolanum.","https://www.illimitybank.com/it/private/conto-premium","PRODUCT",""
"NL-1","bunq","Easy Savings","savings","NL; DE; FR; IT; ES","2.46% p.a.","-","Flexible","-","-","-","Neobank savings NL","Up to 2.46% on Easy Money+; integrated with bunq current account.","Requires paid bunq subscription to access higher rates.","https://www.bunq.com/savings","PRODUCT",""
"PT-1","ActivoBank","Conta Poupança","savings","PT","Variable","-","Flexible","-","-","-","Hassle-free PT savings","BCP-owned digital bank; easy online opening, no branch needed.","Rates change with ECB; not always market-leading.","https://www.activobank.pt/pt/public/poupanca","PRODUCT",""
"INT-1","Wise","Wise Card","debit","INT","Mid-market FX","-","-","0.35–1% conversion","£200/mo free","-","Cheapest FX debit","True mid-market rate in 40+ currencies; transparent fee on every transaction.","One-off card fee €9; ATM free allowance limited.","https://wise.com/gb/card/","PRODUCT",""
"INT-2","Revolut","Revolut Card","debit","INT","0% FX (plan limits)","-","-","0% (in-plan limits)","€200–2000/mo free","-","Travel debit card","0% FX within monthly allowance; accepted anywhere Mastercard/Visa.","Weekend FX markup on Standard plan; spending limits apply.","https://www.revolut.com/cards/","CATEGORY_LANDING",""
"DE-1","DKB","DKB Visa Debitkarte","debit","DE","0% FX (Aktivkunde)","-","-","0%","Free worldwide","-","Free global debit DE","Zero FX, free worldwide ATMs for Aktivkunde — all free.","Aktivkunde status required; debit (not credit) card.","https://www.dkb.de/privatkunden/visa-debitkarte/","PRODUCT",""
"DE-2","Trade Republic","Trade Republic Card","debit","DE; FR; IT; ES; NL","0% FX + 1% Saveback","-","-","0%","Free worldwide","1% Saveback to ETF","Invest while spending","0% FX and 1% of every spend reinvested to ETF plan automatically.","Cashback goes to ETF, not cash — requires investment mindset.","https://traderepublic.com/card","PRODUCT",""
"UK-1","Chase UK","Chase Debit Card","debit","UK","0% FX + 1% cashback","-","-","0%","Free worldwide","1% on everyday spend","Best UK debit card","1% cashback (capped £15/mo), 0% FX, free worldwide ATMs — all free.","Cashback drops after year one; JPMorgan may change terms.","https://www.chase.co.uk/gb/en/product/chase-account/","PRODUCT",""
"UK-2","Starling Bank","Starling Debit","debit","UK","0% FX worldwide","-","-","0%","Free worldwide","-","Award-winning UK debit","0% FX, free worldwide ATMs, real-time notifications.","No cashback; purely functional travel card.","https://www.starlingbank.com/current-account/","PRODUCT",""
"FR-1","Boursorama Banque","Welcome Visa","debit","FR","€0/mo","-","-","1.50%","Free EU ATMs","-","Free French debit","Free card, no conditions; BoursoBank's entry account.","FX fees apply outside EUR zone.","https://www.boursobank.com/banque-au-quotidien/cartes-bancaires/welcome/","PRODUCT",""
"NL-1","bunq","bunq Travel Card","debit","NL; DE; FR; IT; ES","0% FX","-","-","0%","Free worldwide","-","Travel debit EU","0% FX on any plan; included with bunq subscription.","Requires paid bunq plan; not a standalone card.","https://www.bunq.com/travelcard","PRODUCT",""
"ES-1","Openbank","Tarjeta Open Débito","debit","ES","0% FX","-","-","0%","Free worldwide","-","Free Spanish debit","Santander-backed; 0% FX globally; no annual fee.","Openbank account required to get the card.","https://www.openbank.es/tarjetas/tarjeta-debito","PRODUCT",""
"INT-3","Curve","Curve Card","debit","UK; DE; FR; IT; ES; NL; PT","0% FX (limits)","-","-","0% (in limits)","€200/mo free","1% at 3 retailers","All-cards-in-one","Link all existing cards; Go Back in Time feature to switch card post-spend.","FX limits apply; some banks block Curve.","https://www.curve.com/en-gb/pricing","PRICING",""
"INT-1","Wise","Wise Transfer","transfers","INT","~0.41% + small fixed fee","Up to £1M+","-","Mid-market rate","-","-","Cheapest international","True mid-market rate; 160+ countries; transparent fee upfront.","Speed varies by corridor; bank-to-bank not instant everywhere.","https://wise.com/gb/send-money/","PRODUCT",""
"INT-2","Revolut","International Transfer","transfers","INT","0% (plan limits)","-","-","0% in limits","-","-","Free within plan","Instant between Revolut users; 160+ countries from the app.","Outside plan allowance: 0.5% markup; weekend surcharge applies.","https://www.revolut.com/transfer-money-abroad/","PRODUCT",""
"UK-1","Atlantic Money","Atlantic Transfer","transfers","UK; DE; FR; IT; ES; NL; PT","£/€3 flat fee","Up to £1M","-","Mid-market rate","-","-","Large transfer value","Flat £3/€3 fee regardless of amount — unbeatable for large transfers.","Minimum £/€10,000 to be cost-competitive vs Wise.","https://atlanticmoney.com/send-money","PRODUCT",""
"INT-3","XE","XE Money Transfer","transfers","INT","0% margin on FX","Up to £350,000","-","Rate includes small margin","-","-","FX rate focus","XE rate engine; 130+ countries; rate hold available.","Hidden margin in rate; best for larger amounts.","https://www.xe.com/send-money/","PRODUCT",""
"INT-4","Remitly","Remitly Express","transfers","INT","Variable (corridor)","-","-","Variable","-","-","Fast delivery options","Express delivery often under 1 hour; 100+ destination countries.","Economy option cheaper but 3-5 days; fees vary widely by corridor.","https://www.remitly.com/gb/en/how-it-works","PRODUCT",""
"INT-5","WorldRemit","WorldRemit Transfer","transfers","INT","Variable (corridor)","-","-","Variable","-","-","Mobile money delivery","Mobile wallet delivery in 50+ countries; cash pickup option.","Fees less predictable than Wise; rate varies by corridor.","https://www.worldremit.com/en","PRODUCT",""
"INT-6","Paysend","Paysend Global Transfer","transfers","INT","£1.50 fixed fee","-","-","Variable","-","-","Card-to-card speed","Card-to-card in minutes; flat fee; 170+ countries.","FX margin embedded in rate; not mid-market.","https://paysend.com/en-gb/send-money-online","PRODUCT",""
"INT-7","CurrencyFair","CurrencyFair Transfer","transfers","UK; DE; FR; IT; ES; NL; PT","~0.45% + €3 fee","-","-","~0.45%","-","-","Peer-matched FX","Peer-to-peer matching can beat market rate; good for regular transfers.","Marketplace liquidity varies; best rates not always available.","https://www.currencyfair.com/exchange/","PRODUCT",""
"INT-8","Western Union","WU Online Transfer","transfers","INT","Variable (corridor)","-","-","Variable","-","-","Cash pickup global","500,000+ agent locations worldwide; cash pickup instant.","Higher fees than digital-first rivals; FX rate less competitive.","https://www.westernunion.com/gb/en/send-money/","PRODUCT",""
"INT-1","Remitly","Remitly","remittance","INT","Variable (corridor)","-","-","Variable","-","-","Fast diaspora transfers","Express under 1h; 100+ countries; mobile wallet delivery.","Fees vary widely; Economy cheaper but slow.","https://www.remitly.com/gb/en/","PRODUCT",""
"INT-2","WorldRemit","WorldRemit","remittance","INT","Variable (corridor)","-","-","Variable","-","-","Mobile money delivery","Mobile wallet in 50+ countries; cash pickup option.","Fees less predictable than Wise.","https://www.worldremit.com/en","PRODUCT",""
"INT-3","TaptapSend","TaptapSend","remittance","INT","0% fees (most corridors)","-","-","0%","-","-","Free Africa transfers","Zero fees to Africa and South Asia; rapid delivery.","Coverage limited; not all corridors supported.","https://www.taptapsend.com/","PRODUCT",""
"INT-4","Ria Money Transfer","Ria","remittance","INT","Variable (corridor)","-","-","Variable","-","-","Global reach","Top 3 globally by volume; 165+ countries; cash pickup + bank.","Fees and rates less transparent than digital-first.","https://www.riamoneytransfer.com/en-gb/","PRODUCT",""
"INT-5","TransferGo","TransferGo","remittance","INT","Variable (corridor)","-","-","Variable","-","-","CEE corridors","Specialists in Eastern European corridors; fast delivery.","Coverage thinner outside CEE compared to major players.","https://www.transfergo.com/en","PRODUCT",""
"INT-6","Sendwave","Sendwave","remittance","UK; DE; FR","0% fees","-","-","0%","-","-","Africa & Bangladesh","Zero fees to Africa and Bangladesh; instant mobile delivery.","Geographically limited to select corridors only.","https://www.sendwave.com/","PRODUCT",""
"INT-1","Wise","Multi-currency Account","exchange","INT","Mid-market rate","-","-","0.35–1% conversion","-","-","Lowest FX cost","True mid-market rate; hold 40+ currencies; convert instantly.","Small fee on every conversion; not zero-cost.","https://wise.com/gb/multi-currency-account/","PRODUCT",""
"INT-2","Revolut","Currency Exchange","exchange","INT","0% (plan limits)","-","-","0% in limits","-","-","Instant in-app FX","Instant FX within plan allowance; 30+ currencies.","Weekend markup; limits exceeded = 0.5% fee.","https://www.revolut.com/currency-converter/","PRODUCT",""
"INT-3","CurrencyFair","Peer-to-Peer FX","exchange","INT","~0.45% spread","-","-","~0.45%","-","-","Beat the market rate","Peer-matched rates can beat interbank; great for regular transfers.","Liquidity varies; best rates not guaranteed.","https://www.currencyfair.com/personal/","PRODUCT",""
"INT-4","XE","XE Currency Transfer","exchange","INT","Small margin on rate","Up to £350,000","-","Margin in rate","-","-","Rate transparency","The original FX rate provider; good for large transfers.","Fee embedded in rate rather than quoted separately.","https://www.xe.com/personal-money-transfer/","PRODUCT",""
"INT-5","Moneycorp","Moneycorp Personal FX","exchange","UK; DE; FR; ES; IT","Bespoke rate","-","-","Margin in rate","-","-","Large FX volumes","Dedicated dealer for large transfers; forward contracts available.","Not competitive on small amounts; relationship-driven.","https://www.moneycorp.com/en-gb/personal/","PRODUCT",""
"INT-1","Wise","Wise Card","travel","INT","Mid-market FX","-","-","0.35–1%","£200/mo free","-","Cheapest travel card","True mid-market rate globally; accepted everywhere Visa is.","Conversion fee applies; not zero-cost unlike Revolut in limits.","https://wise.com/gb/card/","PRODUCT",""
"INT-2","Revolut","Revolut Card","travel","INT","0% FX (plan limits)","-","-","0% in limits","€200–2000/mo free","-","Most popular travel card","0% FX within limits; accepted globally; instant freeze/unfreeze.","Weekend markup on Standard; limits on free ATM.","https://www.revolut.com/cards/","CATEGORY_LANDING",""
"UK-1","Chase UK","Chase Debit","travel","UK","0% FX worldwide","-","-","0%","Free worldwide","1% cashback","Best UK travel debit","0% FX, free global ATMs, 1% cashback — all on a free account.","UK-only account; cashback capped at £15/mo.","https://www.chase.co.uk/gb/en/product/chase-account/","PRODUCT",""
"UK-2","Halifax","Clarity Credit Card","travel","UK","0% FX + 0% cash advance","-","-","0%","0% abroad","-","0% overseas credit card","No FX fees, no cash advance fee abroad — rare for a credit card.","Interest on cash withdrawals starts immediately (no interest-free period).","https://www.halifax.co.uk/creditcards/clarity-credit-card.html","PRODUCT",""
"UK-3","Starling Bank","Starling Debit","travel","UK","0% FX worldwide","-","-","0%","Free worldwide","-","Award-winning travel debit","0% FX, free ATMs globally, real-time notifications.","No credit card features; debit only.","https://www.starlingbank.com/current-account/","PRODUCT",""
"DE-1","DKB","DKB Visa","travel","DE","0% FX (Aktivkunde)","-","-","0%","Free worldwide","-","German free travel card","0% FX, free worldwide ATMs for Aktivkunde — completely free.","Aktivkunde status required; debit card only.","https://www.dkb.de/privatkunden/visa-debitkarte/","PRODUCT",""
"FR-1","Boursorama Banque","Visa Ultim","travel","FR","0% FX worldwide","-","-","0%","Free worldwide","-","Best French travel card","0% FX, free global ATMs; Boursobank's premium free tier.","Visa Ultim requires income conditions.","https://www.boursobank.com/banque-au-quotidien/cartes-bancaires/visa-ultim/","PRODUCT",""
"NL-1","bunq","bunq Travel Card","travel","NL; DE; FR; IT; ES","0% FX","-","-","0%","Free worldwide","-","EU travel card","0% FX globally; included with bunq plan.","Paid bunq plan required.","https://www.bunq.com/travelcard","PRODUCT",""
"INT-1","Younited Credit","Younited Personal Loan","loans","FR; IT; ES; PT; DE","3.9%–24.9% APR","€1,000–€50,000","6–84 months","-","-","-","Pan-EU digital lender","Instant decision online; competitive APR for good credit across 5 markets.","Rate heavily depends on credit score; higher end for lower scores.","https://www.younited-credit.com/credit","PRODUCT",""
"DE-1","ING","ING Ratenkredit","loans","DE","3.99%–11.99% APR","€5,000–€50,000","12–84 months","-","-","-","Trusted DE bank loan","ING brand; no early repayment fee; fully online application.","Best rates require excellent Schufa score.","https://www.ing.de/kredit/ratenkredit/","PRODUCT",""
"DE-2","Auxmoney","Auxmoney P2P Loan","loans","DE","3.72%–19.9% APR","€1,000–€50,000","12–84 months","-","-","-","P2P for thin credit","Peer-funded; accessible to self-employed and non-standard borrowers.","Funding not guaranteed; can take days to fund.","https://www.auxmoney.com/kredit","PRODUCT",""
